u,v,key,osmid,oneway,lanes,ref,highway,length,name,maxspeed,bridge,junction,access,tunnel,width,service,maxspeed_new,speedcolor
686550308,686550320,0,54511342,True,1,57,primary,25.228,,90.0,,roundabout,,,,,90.0,#21918c
686550308,686550313,0,54511343,True,1,578,primary,80.648,,,,,,,,,90.0,#21918c
686550310,686550306,0,204479879,True,1,57,primary,52.214999999999996,,90.0,,,,,,,90.0,#21918c
686550310,516011080,0,"[290182145, 290182146, 41853187, 356925059, 356925061, 356925062, 356925058, 356925060, 356925065, 356925066, 356925067, 356925063, 356925064, 41806377, 354411057, 220025531, 326353380, 326353381, 261401188, 356925036, 356925047, 356925049, 356925057, 356925053, 356925055]",False,"['2', '4', '3']",57,primary,3594.565,Kanizsai Dorottya út,75.67900356273732,yes,,,,,,75.67900356273732,#32658e
686550313,2144826801,0,"[326353477, 54511341, 326353478]",False,2,578,primary,3998.054,,,yes,,,,,,90.0,#21918c
686550313,686550320,0,54511345,True,1,578,primary,84.35900000000001,,,,,,,,,90.0,#21918c
686550318,686550342,0,54511342,True,1,57,primary,30.192,,90.0,,roundabout,,,,,90.0,#21918c
686550318,686550337,0,204479872,True,1,57,primary,47.385,,90.00000000000001,,,,,,,90.00000000000001,#21918c
686550320,686550318,0,54511342,True,1,57,primary,16.566,,90.0,,roundabout,,,,,90.0,#21918c
686550330,686550307,0,54511342,True,1,57,primary,15.352,,90.0,,roundabout,,,,,90.0,#21918c
686550337,688358294,0,"[355078186, 355078192, 355078198, 355078200, 355078204, 355078205, 355078206, 355078207, 355078208, 355078209, 355078210, 355078211, 355078212, 355078214, 355078215, 355078216, 326331977, 355078218, 355078219, 355078220, 326331978, 355078222, 355078221, 355078223, 149737049, 149737050, 355078234, 355078235, 355078237, 355078236, 355078233, 94553278, 94553285, 324366035, 93067014, 93067018, 355147034, 355147036, 355147037, 355147038, 355147039, 355147040, 355147041, 355147042, 355147043, 355147044, 355147045, 355147046, 355147048, 355147053, 355147063, 148802359, 148802360, 355147069, 355147074, 355147075, 354063682, 355147077, 354063686, 355147082, 686113611, 355147087, 354063700, 355147092, 354063701, 355147096, 354063706, 354063707, 354063708, 354063709, 354063710, 354063711, 354063712, 432331123, 255443833, 204479869, 255443905]",False,"['6', '2', '4', '3']",57,primary,26414.185000000005,Pécsi út,84.76712715857856,yes,,,,,,84.76712715857856,#26818e
686550337,686550342,0,204479874,True,1,57,primary,47.131,,90.0,,,,,,,90.0,#21918c
686550339,686550330,0,54511342,True,1,57,primary,32.382999999999996,,90.0,,roundabout,,,,,90.0,#21918c
686550339,2144826832,0,204479828,True,1,578,primary,59.75699999999999,,,,,,,,,90.0,#21918c
686550342,686550339,0,54511342,True,1,57,primary,5.966,,90.0,,roundabout,,,,,90.0,#21918c
686550399,2144826788,0,"[204479810, 308721679, 204479807]",False,2,578,primary,304.186,,,yes,,,,,,90.0,#21918c
686550399,2144826756,0,204479848,True,1,578,primary,47.23100000000001,,,,,,,,,90.0,#21918c
687431016,2144830573,0,54607470,True,1,,motorway_link,33.05,,,,,,,,,60.0,#472d7b
687431016,2144830581,0,308721681,False,5,58,primary,39.319,,90.0,,,,,,,90.0,#21918c
687431016,1791997282,0,308721682,False,5,58,primary,35.968,,90.0,,,,,,,90.0,#21918c
687431058,687433176,0,"[269888480, 269888481, 149403364, 293029797, 149403340, 312923504, 312923519]",True,"['2', '3']",M60,motorway,4157.164999999999,,125.88813853716644,yes,,,,,,125.88813853716644,#dde318
687431073,2144830593,0,308721683,False,5,58,primary,39.223,II. János Pál út,90.0,,,,,,,90.0,#21918c
687431073,3139854333,0,308721685,False,5,58,primary,36.86,II. János Pál út,90.0,,,,,,,90.0,#21918c
687431073,3139854436,0,167854143,True,1,,motorway_link,38.131,,,,,,,,,60.0,#472d7b
687431105,1791997279,0,"[167854145, 551824409]",True,2,M60,motorway,397.298,,130.0,,,,,,,130.0,#fde725
687431105,2144830586,0,293029796,True,1,60847,motorway_link,427.536,,60.00000000000001,,,,,,,60.00000000000001,#472d7b
687431224,762183766,0,"[312923521, 312923523, 312923526, 312923529, 149736971, 149736973, 149736976, 312923543, 312923544, 149736986, 149736987, 149736991, 149736992, 312923554, 149737000, 254237887, 254237888, 254237890, 254237891, 149403350, 149403369, 312923515, 312923517]",True,"['2', '3']",M60,motorway,18303.435000000005,,129.423289289363,yes,,,,,,129.423289289363,#fbe723
687433136,687431105,0,"[149403360, 312923555, 312923558, 149403367, 312923497, 312923513, 312923509, 312923542, 308721686, 312923545, 312923549, 312923518]",True,"['2', '3']",M60,motorway,3266.0279999999993,,124.85736369234873,yes,,,,,,124.85736369234873,#d5e21a
687433141,687433136,0,66404729,True,1,60844,motorway_link,369.27900000000005,,,,,,,,,60.0,#472d7b
687433176,2144826758,0,54607772,True,1,60845,motorway_link,274.66300000000007,,40.0,,,,,,,40.0,#440154
687433176,687431224,0,"[551824408, 312923548]",True,2,M60,motorway,394.76599999999996,,130.00000000000003,,,,,,,130.00000000000003,#fde725
687433193,2144826793,0,54607770,True,1,60843,motorway_link,443.0920000000001,,,,,,,,,60.0,#472d7b
687433193,687433136,0,"[312923489, 549976182]",True,2,M60,motorway,783.2860000000001,,130.00000000000003,,,,,,,130.00000000000003,#fde725
687536235,1855922682,0,"[54676317, 686113614]",True,1,,motorway_link,372.6720000000001,,,,,,,,,60.0,#472d7b
687536235,688358290,0,"[319732378, 552315186]",True,1,M6,motorway,317.24199999999996,,79.99999999999999,,,,,,,79.99999999999999,#2c718e
688358290,687536357,0,"[319732355, 319732356, 319732358, 69727240, 319732362, 319732364, 319732365, 319732366, 319732367, 319732370, 319732371, 676046489, 676046490, 319732386, 319732393, 118312243, 118181943, 208902335, 208902336, 118181963, 307798737, 307798739, 319732311, 307798744, 307798746, 319732315, 319732314, 319732319, 319732321, 319732323, 118312170, 319732346]",True,"['2', '1', '3']",M6,motorway,17221.228000000006,,124.96154952658905,yes,,,,,,124.96154952658905,#d5e21a
688358294,1855922678,0,69727241,False,3,57,primary,19.466,,90.0,,,,,,,90.0,#21918c
688358294,686550337,0,"[355078186, 355078192, 355078198, 355078200, 355078204, 355078205, 355078206, 355078207, 355078208, 355078209, 355078210, 355078211, 355078212, 355078214, 355078215, 355078216, 326331977, 326331978, 355078219, 355078218, 355078221, 355078222, 355078223, 355078220, 149737049, 149737050, 355078234, 355078233, 355078236, 355078235, 355078237, 94553278, 94553285, 324366035, 93067014, 93067018, 355147034, 355147036, 355147037, 355147038, 355147039, 355147040, 355147041, 355147042, 355147043, 355147044, 355147045, 355147046, 355147048, 355147053, 148802359, 148802360, 355147063, 355147069, 355147074, 355147075, 354063682, 355147077, 354063686, 355147082, 686113611, 355147087, 355147092, 354063700, 354063701, 355147096, 354063706, 354063707, 354063708, 354063709, 354063710, 354063711, 354063712, 432331123, 255443833, 204479869, 255443905]",False,"['6', '2', '4', '3']",57,primary,26414.184999999983,Pécsi út,84.76712715857856,yes,,,,,,84.76712715857856,#26818e
688358300,762176583,0,"[312923525, 148802310, 588390549, 148802327, 319732376, 319732382, 312923553, 312923557, 307859913, 137195107, 137195108, 312923492, 312923493, 312923496, 312923500, 312923503, 54607473, 312923506, 312923505, 312923508]",True,"['2', '3']","['M60', 'M6']",motorway,7839.902999999999,,114.72489218342437,yes,,,,,,114.72489218342437,#81d34d
